ID,Yield
ID_F9XXEXN2ADR2,565.81
ID_SO3VW2X4QO93,419.36
ID_UKUQ7JM8E894,479.65
ID_QUISMWEZR2H4,306.65
ID_25JGI455VKCZ,544.44
ID_KQEAOXF3RPV6,358.29
ID_FSNZCPW9HTD2,3014.0
ID_U2TOPOA0T40S,300.89
ID_XVQLSUKOT04J,1066.17
ID_EAZAU6IW58PK,167.65
ID_WI17R25TC2VU,361.43
ID_OPR9MJWG40U7,1680.85
ID_P9K9GAHC6FX6,673.65
ID_SCAOUCCTJ75Z,30.82
ID_MUP1OS8GZR5E,2364.2
ID_WVBSZ9VBC9HE,672.95
ID_9MGH1WIKFBNB,399.81
ID_3M2O3EPOM18C,2042.95
ID_K9MOR4N1FWIB,583.86
ID_VJPUPMSQARO5,1195.72
ID_7WIMK3DXIU3Q,1133.52
ID_6QXVH0EUS60J,1194.52
ID_CA9GH6Q53A1Q,212.18
ID_94KO4EQ6TA3S,253.83
ID_2WH3AXUWRS2A,227.58
ID_LBS8TBC6QEF1,304.4
ID_Y3YARETW8RAP,1259.35
ID_BY9JJAIKBRGP,395.24
ID_0U5AM482W1DE,418.0
ID_G0I28ORJC3OP,418.78
ID_Q34ED4EMSA3R,576.89
ID_LN3LXEG984XM,639.78
ID_0JTIPPYRJND0,775.9
ID_2MRD9I2X8UXB,199.26666666666665
ID_KH1FHLUW2T4X,254.95
ID_RFM5MWSIU1JX,323.07
ID_IAH2UTMDVU8F,237.04
ID_9SNP46T1GSJI,741.93
ID_DSQ9ISYFW4DB,443.5
ID_B8XYLC3NM6XD,47.58
ID_HOG9LK4CTN8K,450.45
ID_L3RTRS1QIY6D,484.63
ID_03QW4RBYQEBK,401.75
ID_ZJSYN3ZHXK5K,842.75
ID_UPRM76SZ7IJJ,643.56
ID_YB866N9RY5TU,542.91
ID_4H0KNHPKF9BK,195.6
ID_TOIT03A3WTTD,332.74
ID_4P7NKCB6LMJ5,34.3
ID_1TIMGZJLRLWF,639.72
ID_25E6065LQDON,686.84
ID_SOB9B3H12POE,901.75
ID_A8RF0GQGJF5H,901.3
ID_GT36LGF8SM8K,562.59
ID_E9OHGDA3U6DG,420.99
ID_HXWHLMRE99CE,1273.0
ID_3VL9DLFRG5A3,288.34
ID_OKPI3DR2ZQPJ,290.6
ID_XZO6ECCAOC94,893.7
ID_4X2UWYR6RIE2,805.04
ID_1LVAHN6PZYBS,703.35
ID_HRAJFKTPCNWQ,1977.05
ID_TK4H5NRKHOE8,341.6
ID_9U0UBT1J8152,326.54
ID_3EUKVYT37JOP,240.71
ID_1499QWPPW755,546.01
ID_ULWP3J0G860C,371.02
ID_51FSB3P7RO7F,568.7
ID_FHMVP6OM4GDX,1746.15
ID_2OICAUFVUF5S,230.26
ID_ZGCFHIHAIC5U,429.73
ID_SR592R346POT,1278.62
ID_IW7UUDAW8LI0,384.87
ID_UNWZCF6L3JHJ,448.4
ID_Z4FXX0BNPHCO,1857.55
ID_T18YB26T1R72,396.29
ID_LXZWOINVI194,588.7
ID_QNQJS14C9JJR,1794.78
ID_NTPIQUV3J2G6,851.04
ID_PVQOEEDTISZ0,4.0
ID_PNB65ASGG3U5,329.19
ID_KWPXATBZDX9T,501.18
ID_0G0F9TOR4IMI,1524.23
ID_FVLMABW5Y6X2,913.5
ID_O2PL38IY50T5,416.54
ID_CNG8Z00FPPMP,761.5
ID_641DSHBH8JAF,1215.4
ID_Y14QXUKOFJ4H,325.91
ID_DRP3WZV4BNIE,416.4
ID_TMXV7UW39T80,230.53
ID_0L8O49SS6MQM,515.59
ID_UGTG0XQELY2U,449.1
ID_0YZYA9AXL9Z2,290.4
ID_KNOK4V0IWVUO,168.9
ID_YX4DF17Z25RV,378.55
ID_2YAZXP3AEDVO,317.17
ID_YNACZPCVVI09,1759.0
ID_75GYXJW1DYGX,324.86
ID_YRCMJRFRTU2K,1822.2
ID_1L4WBTHTDQMP,521.28
ID_RO0XF0TFLRG6,597.22
ID_NJ7G0SAVDN1Q,328.81
ID_UFPM6MLG1BJK,4.0
ID_ULY51B6WQ9FV,796.4
ID_CR6L4TL2VEEM,229.2
ID_4YRSPS7X1V7Q,375.15
ID_ILQ5YE78E0SD,263.7
ID_WDNXY8YRA10N,370.38
ID_WYK6LRWQ21ML,303.68
ID_EBA4QUGDXB5I,1182.8
ID_2WCWAKQKRA74,745.8
ID_FTSIEXKUER9Y,323.1
ID_64BCOW7PEP3E,80.0
ID_0N5TFB55JBOB,683.7
ID_9AE1OJ45UFJ3,550.22
ID_NJWAR6L7X4Q6,779.9
ID_W8U6J9PKGGGI,401.5
ID_WJUUIJMPNLHW,397.73
ID_S7F4L5OW7OKD,1095.0
ID_Y0OX05BLLQPI,200.0
ID_XJ7ULGKCALNF,610.09
ID_8NU1PZBDI5C7,1364.8
ID_CPPN31R20CBA,653.52
ID_D20Z6VEJBE6K,4.0
ID_N6RSTF2IR5GL,564.75
ID_DJBLGDPMS85M,16.14
ID_34J19EEKSSHY,860.2
ID_P8MQS1ERUQ9F,237.5
ID_U07HHH2EG6K1,750.35
ID_IKAOSO0CFKYZ,198.31
ID_NHQ2WMFGNBS1,326.69
ID_FRJ3P7XDG7OV,532.82
ID_5N0W8ZFFAIQX,442.43
ID_OFSHZ2KZ1LQ4,4.0
ID_A6C1G6XUATUE,92.65
ID_N99MP1180BJ5,238.1
ID_D5F8SLVPMZKE,143.3
ID_49QTISSSNQ0M,610.9
ID_S1WHDBHNKLYO,311.55
ID_9YE4VBW3W1WJ,432.3
ID_7SWZRG2B52YI,310.7
ID_41XNQZ8M4QXH,336.225
ID_SIB0PJZQMRBO,305.27
ID_M47IW492SXOP,158.02
ID_MTUJW5V02DWQ,790.8
ID_Y108HSDX00WC,973.66
ID_QRD8JCO8QWCF,99.9
ID_RIP1ZN0ST7I3,16.16
ID_BPS356NV28J7,1160.03
ID_0KANA1KYEQKW,101.05
ID_80MMCWDS27VC,978.65
ID_CH1WWOXBV7L8,380.74
ID_PM7YZSDTN1OI,659.76
ID_FR4XH94DJW50,527.34
ID_D1IDORABBOBP,448.35
ID_0BE8BMWG3A68,488.65
ID_RY2QD5TLB4US,425.09
ID_S8D99RRNCOMC,1269.46
ID_YZLW773BTIA3,319.88
ID_FL8VHWG97QTI,939.62
ID_JVLT86OR9T15,655.92
ID_NBSTAXAZ24X0,930.42
ID_43VRMQQ5E60F,320.62
ID_HI4ACMU7M13J,437.9
ID_UI96L3AE8YXY,592.68
ID_UXRI6OXKF50S,906.63
ID_FW06NS2YA7QW,418.35
ID_RA5OO0JVNOUF,400.2
ID_EVGU94YQTZWM,157.45
ID_GHANLFEJN9UW,158.95
ID_HXBFX8X2DD7B,931.04
ID_KUNLQSF5FM19,587.95
