ID,Yield
ID_F9XXEXN2ADR2,1271.87
ID_SO3VW2X4QO93,1088.72
ID_UKUQ7JM8E894,1268.47
ID_QUISMWEZR2H4,1186.42
ID_25JGI455VKCZ,1796.49
ID_KQEAOXF3RPV6,1182.34
ID_FSNZCPW9HTD2,1988.07
ID_U2TOPOA0T40S,1186.42
ID_XVQLSUKOT04J,2766.66
ID_EAZAU6IW58PK,827.21
ID_WI17R25TC2VU,1099.7
ID_OPR9MJWG40U7,2343.1
ID_P9K9GAHC6FX6,1800.29
ID_SCAOUCCTJ75Z,1057.3
ID_MUP1OS8GZR5E,2055.85
ID_WVBSZ9VBC9HE,1799.09
ID_9MGH1WIKFBNB,1095.86
ID_3M2O3EPOM18C,2281.71
ID_K9MOR4N1FWIB,1275.67
ID_VJPUPMSQARO5,2766.66
ID_7WIMK3DXIU3Q,2702.11
ID_6QXVH0EUS60J,2634.1
ID_CA9GH6Q53A1Q,1192.83
ID_94KO4EQ6TA3S,1089.2
ID_2WH3AXUWRS2A,1088.2
ID_LBS8TBC6QEF1,1186.42
ID_Y3YARETW8RAP,2068.05
ID_BY9JJAIKBRGP,1140.93
ID_0U5AM482W1DE,1096.61
ID_G0I28ORJC3OP,1095.32
ID_Q34ED4EMSA3R,1797.59
ID_LN3LXEG984XM,1800.29
ID_0JTIPPYRJND0,1928.33
ID_2MRD9I2X8UXB,1143.42
ID_KH1FHLUW2T4X,1089.2
ID_RFM5MWSIU1JX,1088.22
ID_IAH2UTMDVU8F,1091.2
ID_9SNP46T1GSJI,1800.29
ID_DSQ9ISYFW4DB,1187.25
ID_B8XYLC3NM6XD,1091.2
ID_HOG9LK4CTN8K,1096.12
ID_L3RTRS1QIY6D,1098.63
ID_03QW4RBYQEBK,1096.82
ID_ZJSYN3ZHXK5K,2053.9
ID_UPRM76SZ7IJJ,1895.38
ID_YB866N9RY5TU,1272.67
ID_4H0KNHPKF9BK,1143.42
ID_TOIT03A3WTTD,1086.22
ID_4P7NKCB6LMJ5,1091.36
ID_1TIMGZJLRLWF,1800.29
ID_25E6065LQDON,1812.54
ID_SOB9B3H12POE,1991.01
ID_A8RF0GQGJF5H,2002.02
ID_GT36LGF8SM8K,1272.67
ID_E9OHGDA3U6DG,1094.12
ID_HXWHLMRE99CE,2068.05
ID_3VL9DLFRG5A3,1096.02
ID_OKPI3DR2ZQPJ,1091.2
ID_XZO6ECCAOC94,2700.02
ID_4X2UWYR6RIE2,1337.77
ID_1LVAHN6PZYBS,1990.57
ID_HRAJFKTPCNWQ,1844.9
ID_TK4H5NRKHOE8,1097.5
ID_9U0UBT1J8152,1096.02
ID_3EUKVYT37JOP,1091.12
ID_1499QWPPW755,1329.98
ID_ULWP3J0G860C,1088.22
ID_51FSB3P7RO7F,1799.09
ID_FHMVP6OM4GDX,2276.06
ID_2OICAUFVUF5S,1091.72
ID_ZGCFHIHAIC5U,1088.72
ID_SR592R346POT,2650.53
ID_IW7UUDAW8LI0,1088.94
ID_UNWZCF6L3JHJ,1092.98
ID_Z4FXX0BNPHCO,1289.82
ID_T18YB26T1R72,1088.72
ID_LXZWOINVI194,1813.14
ID_QNQJS14C9JJR,2340.66
ID_NTPIQUV3J2G6,1991.01
ID_PVQOEEDTISZ0,1048.2
ID_PNB65ASGG3U5,1096.02
ID_KWPXATBZDX9T,1270.47
ID_0G0F9TOR4IMI,2702.36
ID_FVLMABW5Y6X2,2042.7
ID_O2PL38IY50T5,1146.48
ID_CNG8Z00FPPMP,1928.33
ID_641DSHBH8JAF,2747.31
ID_Y14QXUKOFJ4H,1096.02
ID_DRP3WZV4BNIE,1800.29
ID_TMXV7UW39T80,1192.83
ID_0L8O49SS6MQM,1268.47
ID_UGTG0XQELY2U,1092.98
ID_0YZYA9AXL9Z2,1192.83
ID_KNOK4V0IWVUO,826.13
ID_YX4DF17Z25RV,1090.92
ID_2YAZXP3AEDVO,1096.02
ID_YNACZPCVVI09,2341.46
ID_75GYXJW1DYGX,1099.7
ID_YRCMJRFRTU2K,1278.59
ID_1L4WBTHTDQMP,1800.29
ID_RO0XF0TFLRG6,1335.77
ID_NJ7G0SAVDN1Q,1142.03
ID_UFPM6MLG1BJK,1048.2
ID_ULY51B6WQ9FV,2053.9
ID_CR6L4TL2VEEM,1088.12
ID_4YRSPS7X1V7Q,1095.32
ID_ILQ5YE78E0SD,1100.95
ID_WDNXY8YRA10N,1096.68
ID_WYK6LRWQ21ML,1090.12
ID_EBA4QUGDXB5I,2706.65
ID_2WCWAKQKRA74,1991.21
ID_FTSIEXKUER9Y,1086.58
ID_64BCOW7PEP3E,1056.7
ID_0N5TFB55JBOB,1813.74
