ID,Yield
ID_F9XXEXN2ADR2,-3075050873377295.0
ID_SO3VW2X4QO93,-879107669905917.1
ID_UKUQ7JM8E894,-1054929203881573.8
ID_QUISMWEZR2H4,-2221582271546543.8
ID_25JGI455VKCZ,-7831399882324882.0
ID_KQEAOXF3RPV6,-703286135928034.8
ID_FSNZCPW9HTD2,-3976503316038894.5
ID_U2TOPOA0T40S,-421971681546608.44
ID_XVQLSUKOT04J,-527464601888441.3
ID_EAZAU6IW58PK,-70328613585993.914
ID_WI17R25TC2VU,-421971681555346.44
ID_OPR9MJWG40U7,-2813144543730208.0
ID_P9K9GAHC6FX6,-8534686018262284.0
ID_SCAOUCCTJ75Z,-3950864247958696.5
ID_MUP1OS8GZR5E,-351643067868667.94
ID_WVBSZ9VBC9HE,-4781988077030321.0
ID_9MGH1WIKFBNB,-4267343009133704.5
ID_3M2O3EPOM18C,-9282661699684354.0
ID_K9MOR4N1FWIB,-1054929203893564.1
ID_VJPUPMSQARO5,-527464601879392.5
ID_7WIMK3DXIU3Q,-6201379882931687.0
ID_6QXVH0EUS60J,-1898872566980164.5
ID_CA9GH6Q53A1Q,-5785639144746203.0
ID_94KO4EQ6TA3S,-351643067955063.1
ID_2WH3AXUWRS2A,-4091521475139696.5
ID_LBS8TBC6QEF1,-2525241498671826.0
ID_Y3YARETW8RAP,-5498093747005408.0
ID_BY9JJAIKBRGP,-527464601937995.6
ID_0U5AM482W1DE,-351643067939893.75
ID_G0I28ORJC3OP,-527464601938753.1
ID_Q34ED4EMSA3R,-879107669905867.4
ID_LN3LXEG984XM,-9589615222165248.0
ID_0JTIPPYRJND0,-1828543953400695.5
ID_2MRD9I2X8UXB,-351643067955813.0
ID_KH1FHLUW2T4X,-1543935203712221.5
ID_RFM5MWSIU1JX,-351643067960503.6
ID_IAH2UTMDVU8F,-2045760737573126.2
ID_9SNP46T1GSJI,-1758215339826719.0
ID_DSQ9ISYFW4DB,-527464601937943.75
ID_B8XYLC3NM6XD,-351643067951996.06
ID_HOG9LK4CTN8K,-632957522329603.2
ID_L3RTRS1QIY6D,-140657227173780.3
ID_03QW4RBYQEBK,-703286135933545.4
ID_ZJSYN3ZHXK5K,-351643067949441.6
ID_UPRM76SZ7IJJ,-1406572271854115.5
ID_YB866N9RY5TU,-1406572271859118.5
ID_4H0KNHPKF9BK,-351643067954945.3
ID_TOIT03A3WTTD,-2045760737552629.2
ID_4P7NKCB6LMJ5,-4091521475128108.0
ID_1TIMGZJLRLWF,-1406572271857491.0
ID_25E6065LQDON,-1406572271858199.2
ID_SOB9B3H12POE,-3516430679666066.0
ID_A8RF0GQGJF5H,-1451261817358072.2
ID_GT36LGF8SM8K,-1406572271863923.0
ID_E9OHGDA3U6DG,-2749046873483081.0
ID_HXWHLMRE99CE,-2.595570112278313e+16
ID_3VL9DLFRG5A3,-246150147560158.47
ID_OKPI3DR2ZQPJ,-421971681547443.2
ID_XZO6ECCAOC94,-2109858407797365.8
ID_4X2UWYR6RIE2,-2995197021082838.5
ID_1LVAHN6PZYBS,-773614749460571.9
ID_HRAJFKTPCNWQ,-843943363039866.6
ID_TK4H5NRKHOE8,-1054929203898472.6
ID_9U0UBT1J8152,-351643067948892.06
ID_3EUKVYT37JOP,-2116089351157666.5
ID_1499QWPPW755,-5446815610818405.0
ID_ULWP3J0G860C,-421971681558387.06
ID_51FSB3P7RO7F,-1380933203766287.2
ID_FHMVP6OM4GDX,-2841720259826303.0
ID_2OICAUFVUF5S,-2221582271547219.2
ID_ZGCFHIHAIC5U,-2749046873499862.5
ID_SR592R346POT,-4746823770229344.0
ID_IW7UUDAW8LI0,-9525517551924328.0
ID_UNWZCF6L3JHJ,-351643067947723.5
ID_Z4FXX0BNPHCO,-2573225339508001.5
ID_T18YB26T1R72,-4794807611059400.0
ID_LXZWOINVI194,-808779056320705.0
ID_QNQJS14C9JJR,-703286135865342.6
ID_NTPIQUV3J2G6,-2813144543729740.5
ID_PVQOEEDTISZ0,-2560405805473746.0
ID_PNB65ASGG3U5,-210985840764488.22
ID_KWPXATBZDX9T,-703286135932096.9
ID_0G0F9TOR4IMI,-3497022554929106.5
ID_FVLMABW5Y6X2,-1758215339796239.2
ID_O2PL38IY50T5,-2.279091351102051e+16
ID_CNG8Z00FPPMP,-1476900885451389.2
ID_641DSHBH8JAF,-1406572271853778.5
ID_Y14QXUKOFJ4H,-281314454363780.34
ID_DRP3WZV4BNIE,-6488925280682067.0
ID_TMXV7UW39T80,-2723407805412702.5
ID_0L8O49SS6MQM,-4970629145060818.0
ID_UGTG0XQELY2U,-6533614826182827.0
ID_0YZYA9AXL9Z2,-1297785056131652.8
ID_KNOK4V0IWVUO,-70328613585856.01
ID_YX4DF17Z25RV,-4091521475137682.5
ID_2YAZXP3AEDVO,-351643067954125.9
ID_YNACZPCVVI09,-703286135872250.9
ID_75GYXJW1DYGX,-351643067965848.8
ID_YRCMJRFRTU2K,-843943363103362.0
ID_1L4WBTHTDQMP,-1406572271858941.8
ID_RO0XF0TFLRG6,-1406572271855506.5
ID_NJ7G0SAVDN1Q,-773614749512499.1
ID_UFPM6MLG1BJK,-2045760737533579.2
ID_ULY51B6WQ9FV,-527464601916189.5
ID_CR6L4TL2VEEM,-2899229339390898.5
ID_4YRSPS7X1V7Q,-351643067956291.5
ID_ILQ5YE78E0SD,-105492920374552.52
ID_WDNXY8YRA10N,-421971681543499.56
ID_WYK6LRWQ21ML,-351643067945797.2
ID_EBA4QUGDXB5I,-2573225339489859.5
ID_2WCWAKQKRA74,-3164787611683693.5
ID_FTSIEXKUER9Y,-1262620749327394.8
ID_64BCOW7PEP3E,-210985840779191.03
ID_0N5TFB55JBOB,-1054929203896185.4
ID_9AE1OJ45UFJ3,-1054929203890521.0
ID_NJWAR6L7X4Q6,-2813144543711375.5
ID_W8U6J9PKGGGI,-351643067944035.75
ID_WJUUIJMPNLHW,-1895578271673659.5
ID_S7F4L5OW7OKD,-5146450679041786.0
ID_Y0OX05BLLQPI,-351643067955087.7
ID_XJ7ULGKCALNF,-1054929203887165.4
ID_8NU1PZBDI5C7,-4443164543111413.0
ID_CPPN31R20CBA,-2988966077709836.5
ID_D20Z6VEJBE6K,-2221582271551979.0
ID_N6RSTF2IR5GL,-6137282212715647.0
ID_DJBLGDPMS85M,-2045760737568615.5
ID_34J19EEKSSHY,-7083424200892717.0
ID_P8MQS1ERUQ9F,-1297785056125907.0
ID_U07HHH2EG6K1,-351643067937296.5
ID_IKAOSO0CFKYZ,-351643067953534.0
ID_NHQ2WMFGNBS1,-246150147561224.9
ID_FRJ3P7XDG7OV,-632957522333179.5
ID_5N0W8ZFFAIQX,-1406572271860733.5
ID_OFSHZ2KZ1LQ4,-2045760737568717.5
ID_A6C1G6XUATUE,-4430345009043579.5
ID_N99MP1180BJ5,-2397403805543583.0
ID_D5F8SLVPMZKE,-888632908612580.1
ID_49QTISSSNQ0M,-984600590292922.9
ID_S1WHDBHNKLYO,-316478761165192.8
ID_9YE4VBW3W1WJ,-2045760737558643.0
ID_7SWZRG2B52YI,-1802904885336411.2
ID_41XNQZ8M4QXH,-351643067951862.0
ID_SIB0PJZQMRBO,-632957522328744.5
ID_M47IW492SXOP,-5248649304104145.0
ID_MTUJW5V02DWQ,-2397403805510128.5
ID_Y108HSDX00WC,-2813144543728287.5
ID_QRD8JCO8QWCF,-175821533979366.44
