ID,Yield
ID_F9XXEXN2ADR2,522.6
ID_SO3VW2X4QO93,177.14
ID_UKUQ7JM8E894,520.74
ID_QUISMWEZR2H4,287.55
ID_25JGI455VKCZ,570.61
ID_KQEAOXF3RPV6,352.65
ID_FSNZCPW9HTD2,838.8
ID_U2TOPOA0T40S,275.55
ID_XVQLSUKOT04J,1138.2
ID_EAZAU6IW58PK,157.6
ID_WI17R25TC2VU,354.79
ID_OPR9MJWG40U7,1673.2
ID_P9K9GAHC6FX6,615.38
ID_SCAOUCCTJ75Z,7.42
ID_MUP1OS8GZR5E,892.5
ID_WVBSZ9VBC9HE,678.75
ID_9MGH1WIKFBNB,404.3
ID_3M2O3EPOM18C,1999.5
ID_K9MOR4N1FWIB,605.6
ID_VJPUPMSQARO5,1257.9
ID_7WIMK3DXIU3Q,1137.8
ID_6QXVH0EUS60J,1163.2
ID_CA9GH6Q53A1Q,217.77
ID_94KO4EQ6TA3S,254.91
ID_2WH3AXUWRS2A,241.6
ID_LBS8TBC6QEF1,292.25
ID_Y3YARETW8RAP,1269.9
ID_BY9JJAIKBRGP,434.36
ID_0U5AM482W1DE,403.12
ID_G0I28ORJC3OP,404.85
ID_Q34ED4EMSA3R,612.23
ID_LN3LXEG984XM,653.8
ID_0JTIPPYRJND0,753.8
ID_2MRD9I2X8UXB,201.55
ID_KH1FHLUW2T4X,255.8
ID_RFM5MWSIU1JX,316.66
ID_IAH2UTMDVU8F,239.4
ID_9SNP46T1GSJI,724.85
ID_DSQ9ISYFW4DB,426.41
ID_B8XYLC3NM6XD,21.55
ID_HOG9LK4CTN8K,404.2
ID_L3RTRS1QIY6D,317.16
ID_03QW4RBYQEBK,402.66
ID_ZJSYN3ZHXK5K,802.0
ID_UPRM76SZ7IJJ,663.34
ID_YB866N9RY5TU,542.73
ID_4H0KNHPKF9BK,187.1
ID_TOIT03A3WTTD,350.12
ID_4P7NKCB6LMJ5,61.89
ID_1TIMGZJLRLWF,726.46
ID_25E6065LQDON,689.3
ID_SOB9B3H12POE,890.15
ID_A8RF0GQGJF5H,957.3
ID_GT36LGF8SM8K,571.15
ID_E9OHGDA3U6DG,420.53
ID_HXWHLMRE99CE,1245.4
ID_3VL9DLFRG5A3,317.3
ID_OKPI3DR2ZQPJ,287.56
ID_XZO6ECCAOC94,901.6
ID_4X2UWYR6RIE2,780.58
ID_1LVAHN6PZYBS,698.05
ID_HRAJFKTPCNWQ,2001.8
ID_TK4H5NRKHOE8,350.25
ID_9U0UBT1J8152,327.6
ID_3EUKVYT37JOP,225.0
ID_1499QWPPW755,506.06
ID_ULWP3J0G860C,378.05
ID_51FSB3P7RO7F,568.74
ID_FHMVP6OM4GDX,1657.45
ID_2OICAUFVUF5S,230.69
ID_ZGCFHIHAIC5U,416.65
ID_SR592R346POT,1280.1
ID_IW7UUDAW8LI0,399.2
ID_UNWZCF6L3JHJ,426.28
ID_Z4FXX0BNPHCO,1528.0
ID_T18YB26T1R72,412.75
ID_LXZWOINVI194,595.05
ID_QNQJS14C9JJR,1809.53
ID_NTPIQUV3J2G6,831.06
ID_PVQOEEDTISZ0,4.0
ID_PNB65ASGG3U5,315.24
ID_KWPXATBZDX9T,478.81
ID_0G0F9TOR4IMI,1433.71
ID_FVLMABW5Y6X2,904.02
ID_O2PL38IY50T5,355.11
ID_CNG8Z00FPPMP,778.4
ID_641DSHBH8JAF,1083.8
ID_Y14QXUKOFJ4H,309.23
ID_DRP3WZV4BNIE,587.33
ID_TMXV7UW39T80,106.65
ID_0L8O49SS6MQM,507.93
