ID,Yield
ID_F9XXEXN2ADR2,509.86313
ID_SO3VW2X4QO93,408.61057
ID_UKUQ7JM8E894,524.4602
ID_QUISMWEZR2H4,319.74588
ID_25JGI455VKCZ,664.06726
ID_KQEAOXF3RPV6,370.52072
ID_FSNZCPW9HTD2,893.56177
ID_U2TOPOA0T40S,319.2282
ID_XVQLSUKOT04J,1177.3201
ID_EAZAU6IW58PK,148.20415
ID_WI17R25TC2VU,379.24573
ID_OPR9MJWG40U7,1741.3271
ID_P9K9GAHC6FX6,643.91754
ID_SCAOUCCTJ75Z,12.423854
ID_MUP1OS8GZR5E,1788.8737
ID_WVBSZ9VBC9HE,702.5328
ID_9MGH1WIKFBNB,405.9778
ID_3M2O3EPOM18C,1984.6163
ID_K9MOR4N1FWIB,568.6149
ID_VJPUPMSQARO5,1365.5361
ID_7WIMK3DXIU3Q,1091.543
ID_6QXVH0EUS60J,1109.7452
ID_CA9GH6Q53A1Q,273.15137
ID_94KO4EQ6TA3S,260.62726
ID_2WH3AXUWRS2A,254.54782
ID_LBS8TBC6QEF1,302.72263
ID_Y3YARETW8RAP,1209.6025
ID_BY9JJAIKBRGP,429.78372
ID_0U5AM482W1DE,331.74158
ID_G0I28ORJC3OP,420.9037
ID_Q34ED4EMSA3R,634.3785
ID_LN3LXEG984XM,582.94214
ID_0JTIPPYRJND0,767.6832
ID_2MRD9I2X8UXB,195.47414
ID_KH1FHLUW2T4X,273.23853
ID_RFM5MWSIU1JX,332.3394
ID_IAH2UTMDVU8F,227.50923
ID_9SNP46T1GSJI,704.3291
ID_DSQ9ISYFW4DB,421.33344
ID_B8XYLC3NM6XD,3.5375865
ID_HOG9LK4CTN8K,395.20538
ID_L3RTRS1QIY6D,287.80386
ID_03QW4RBYQEBK,394.65347
ID_ZJSYN3ZHXK5K,862.53107
ID_UPRM76SZ7IJJ,690.01117
ID_YB866N9RY5TU,556.789
ID_4H0KNHPKF9BK,238.97595
ID_TOIT03A3WTTD,317.72305
ID_4P7NKCB6LMJ5,74.66466
ID_1TIMGZJLRLWF,728.92316
ID_25E6065LQDON,700.30133
ID_SOB9B3H12POE,1037.5804
ID_A8RF0GQGJF5H,1021.3493
ID_GT36LGF8SM8K,556.789
ID_E9OHGDA3U6DG,385.19275
ID_HXWHLMRE99CE,1292.4132
ID_3VL9DLFRG5A3,318.35498
ID_OKPI3DR2ZQPJ,316.22787
ID_XZO6ECCAOC94,872.5781
ID_4X2UWYR6RIE2,766.9603
ID_1LVAHN6PZYBS,931.5253
ID_HRAJFKTPCNWQ,1998.4735
ID_TK4H5NRKHOE8,341.01584
ID_9U0UBT1J8152,312.29776
ID_3EUKVYT37JOP,254.54782
ID_1499QWPPW755,534.07916
ID_ULWP3J0G860C,384.4912
ID_51FSB3P7RO7F,596.1738
ID_FHMVP6OM4GDX,1906.5889
ID_2OICAUFVUF5S,245.43196
ID_ZGCFHIHAIC5U,426.9734
ID_SR592R346POT,1229.557
ID_IW7UUDAW8LI0,375.92758
ID_UNWZCF6L3JHJ,358.65857
ID_Z4FXX0BNPHCO,484.36887
ID_T18YB26T1R72,421.083
ID_LXZWOINVI194,578.33124
ID_QNQJS14C9JJR,1792.8933
ID_NTPIQUV3J2G6,836.88763
ID_PVQOEEDTISZ0,-3.4557505
ID_PNB65ASGG3U5,319.76028
ID_KWPXATBZDX9T,498.871
ID_0G0F9TOR4IMI,1434.4757
ID_FVLMABW5Y6X2,948.6549
ID_O2PL38IY50T5,396.39532
ID_CNG8Z00FPPMP,761.5968
ID_641DSHBH8JAF,1059.7122
ID_Y14QXUKOFJ4H,290.39438
ID_DRP3WZV4BNIE,581.56604
ID_TMXV7UW39T80,122.54675
ID_0L8O49SS6MQM,492.84412
ID_UGTG0XQELY2U,417.58978
ID_0YZYA9AXL9Z2,287.96027
ID_KNOK4V0IWVUO,159.56996
ID_YX4DF17Z25RV,404.03528
ID_2YAZXP3AEDVO,325.2532
ID_YNACZPCVVI09,1783.0537
ID_75GYXJW1DYGX,312.6414
ID_YRCMJRFRTU2K,466.79523
ID_1L4WBTHTDQMP,578.45056
ID_RO0XF0TFLRG6,628.181
ID_NJ7G0SAVDN1Q,351.79288
ID_UFPM6MLG1BJK,-141.51115
ID_ULY51B6WQ9FV,770.72626
ID_CR6L4TL2VEEM,259.62207
ID_4YRSPS7X1V7Q,393.06323
ID_ILQ5YE78E0SD,236.68558
ID_WDNXY8YRA10N,405.13083
ID_WYK6LRWQ21ML,318.3856
ID_EBA4QUGDXB5I,1114.6599
ID_2WCWAKQKRA74,652.25397
ID_FTSIEXKUER9Y,313.31122
ID_64BCOW7PEP3E,140.59344
ID_0N5TFB55JBOB,715.8105
ID_9AE1OJ45UFJ3,558.5436
ID_NJWAR6L7X4Q6,767.6832
ID_W8U6J9PKGGGI,388.12308
ID_WJUUIJMPNLHW,401.55734
ID_S7F4L5OW7OKD,1115.5548
ID_Y0OX05BLLQPI,188.08887
ID_XJ7ULGKCALNF,527.77496
ID_8NU1PZBDI5C7,1087.9958
ID_CPPN31R20CBA,681.8172
ID_D20Z6VEJBE6K,1.001687
ID_N6RSTF2IR5GL,458.06104
ID_DJBLGDPMS85M,2.205387
ID_34J19EEKSSHY,799.1371
ID_P8MQS1ERUQ9F,254.54782
ID_U07HHH2EG6K1,839.6231
ID_IKAOSO0CFKYZ,187.41087
ID_NHQ2WMFGNBS1,314.59305
ID_FRJ3P7XDG7OV,614.0684
ID_5N0W8ZFFAIQX,468.0613
ID_OFSHZ2KZ1LQ4,2.205387
ID_A6C1G6XUATUE,205.75633
ID_N99MP1180BJ5,238.6154
ID_D5F8SLVPMZKE,164.55058
ID_49QTISSSNQ0M,621.3259
ID_S1WHDBHNKLYO,328.16724
ID_9YE4VBW3W1WJ,406.52167
ID_7SWZRG2B52YI,347.3436
ID_41XNQZ8M4QXH,384.57254
ID_SIB0PJZQMRBO,328.93295
ID_M47IW492SXOP,179.27945
ID_MTUJW5V02DWQ,776.78485
ID_Y108HSDX00WC,980.1499
ID_QRD8JCO8QWCF,113.17012
ID_RIP1ZN0ST7I3,27.800383
ID_BPS356NV28J7,1114.8802
ID_0KANA1KYEQKW,124.100555
ID_80MMCWDS27VC,1173.8391
ID_CH1WWOXBV7L8,330.44733
ID_PM7YZSDTN1OI,832.65485
ID_FR4XH94DJW50,571.4322
ID_D1IDORABBOBP,462.51987
ID_0BE8BMWG3A68,522.17535
ID_RY2QD5TLB4US,410.598
ID_S8D99RRNCOMC,1266.7322
ID_YZLW773BTIA3,323.43036
ID_FL8VHWG97QTI,481.6054
ID_JVLT86OR9T15,643.182
ID_NBSTAXAZ24X0,1144.6486
ID_43VRMQQ5E60F,318.1403
ID_HI4ACMU7M13J,433.5096
ID_UI96L3AE8YXY,667.31067
ID_UXRI6OXKF50S,907.93536
ID_FW06NS2YA7QW,438.83383
ID_RA5OO0JVNOUF,427.1983
ID_EVGU94YQTZWM,155.7131
ID_GHANLFEJN9UW,148.20415
ID_HXBFX8X2DD7B,888.2532
ID_KUNLQSF5FM19,542.1629
ID_7XXH76413XNT,644.85126
ID_D58TIQKQLU7Q,411.85437
ID_W5CLRPVGFRKH,393.6063
ID_A3Y0OIB0BE59,385.16147
ID_C74NLELOCNTS,1987.2461
ID_2FIGN89QV44C,27.26872
ID_QN4PJSV2CGSJ,245.2171
ID_V5W6AZBTURWA,417.75583
ID_L6E0GOTVHSCD,624.7872
ID_Q95BUWXK8RM3,155.7131
ID_5TLXCFLTYF1F,428.48016
ID_GLBHSYJG9S5B,1397.2914
ID_3X3YHRC7IIN9,618.8434
ID_5H724YS64665,989.07745
ID_U4Z5RN88FCZM,627.9478
ID_05TGZGOMI6MF,402.35904
ID_0GCZV8RUSZK6,363.67804
ID_UV06K1FM1SB5,475.09393
ID_RCJZ3PORBWFV,54.175888
ID_W1NL5CU9VHQS,412.3725
ID_2WIYFQHMJPYD,1004.6321
ID_BFFULEU6PVQ9,108.0113
ID_JN31K11BXQ0E,325.2532
ID_DS40FHVR9R7F,313.31122
ID_DNOT9DTVZ6MQ,770.62134
ID_Z58PO8MMX8YV,739.4461
ID_NEYMBJKFHN1X,671.9626
ID_RND7MNSA6LWV,334.732
ID_U407VXC7F9NZ,324.55365
ID_ES753BBA75GB,154.2499
ID_APRL4BTWWRW9,257.7013
ID_S909ZPBZ39II,266.42462
ID_YYFP9SWEV0U5,1216.8549
ID_25EBTESPBHGZ,722.15717
ID_W0W8TG7XRWE3,207.95967
ID_0FU2BPIOTMVD,673.6324
ID_OF817VW3STNX,503.41953
ID_7QATIJ9YSL1K,1548.3185
ID_LBPW7URC7BBW,477.1894
ID_7WYQ81JCM9V3,146.74896
ID_JGSVOGVN6522,589.29034
ID_TOUB2GY1ZHXT,672.3048
ID_9AJCTSUQG7FZ,563.67505
ID_VKOZPEUVSDI8,686.6953
ID_UG5GQ68S58OW,450.77057
ID_4RB8XK2ZB1IR,791.8082
ID_Z3P4T6K6P2ED,189.03339
ID_VUGTKX63R5P0,333.21353
ID_XMF3Q64FMLBK,505.51462
ID_DTWCZ9G9C8WD,817.4165
ID_0MNYHJUPIOIT,217.97218
ID_ZGAL960JTO3R,352.24677
ID_PK835TJNER3I,665.41876
ID_KVGPYMSHB2WJ,303.67365
ID_OWIQYP0I1HGW,1323.9232
ID_7RS2XDILJLBL,447.23444
ID_EDCLK08NMF0N,379.16818
ID_97Y87C3ANP5B,318.1403
ID_D3SKVOTTB4KQ,240.42519
ID_APFVFYM11UU0,1797.6794
ID_TAIVU9LHBYZ8,526.3409
ID_NTR94XDRQIHZ,188.47693
ID_8QCOFS2HXOJQ,401.42673
ID_7ZZVZZH08UWF,384.86646
ID_9NGVV4V11YU2,380.84225
ID_5G8RKC18KLXV,400.80508
ID_BSVRMHEKDQKD,421.06537
ID_6Z12209FUIAT,743.61475
ID_IRBHYP3G7UXU,313.31122
ID_9PH4KNPDDVWS,776.2169
ID_S4G0N1TJEDUG,333.54236
ID_OP7NSDQGR6AE,39.344418
ID_32RIU94UJDHI,1623.4553
ID_85WKQYHE0W5H,767.2503
ID_2T4I23J42NUP,421.59668
ID_LOJZM912S2TH,506.91214
ID_FQAR45VD4PQ5,700.30133
ID_RA4Y3ZL70BWO,1069.4875
ID_UH3QT7I1O24Q,142.32849
ID_P9OZQ56CX2YO,505.60294
ID_RB24VMV9FIGM,402.3958
ID_XECRIM8DR00Z,1107.9156
ID_EYIQ79MA3T5E,755.0314
ID_B0QBM2S1R9S7,248.27513
ID_1L74BG9P0TKX,764.16156
ID_141KG0TOOCJ6,787.3243
ID_IMKLSNJKVI4P,314.62366
ID_253P6J7D92PW,409.48773
ID_PCC17RCZX06S,318.35498
ID_7MUPVDZE1ZWB,1085.5321
ID_O994OZU1NP7E,624.2221
ID_RFVKSMVILY31,518.76935
ID_MTR7TTJ5LSBE,189.03339
ID_87QM8DS5HSU7,1305.7095
ID_8KXPBLV53NZK,500.2369
ID_LQVS4LC3YRMB,632.44824
ID_ISVACTKT5MAA,370.33136
ID_C64B9DUNSCM1,185.43234
ID_ZXAE37OWUMFI,401.2626
ID_L7Y4MKY66OSL,672.7256
ID_TZ1FUOUR0Y8X,1040.3193
ID_D7HMR45HU1ZW,389.5003
ID_UCZXI2H7S2YD,237.62091
ID_7TU75PUQP312,2587.5945
ID_4ULCEP364DAF,532.62445
ID_8EOY07K5LOC4,327.21725
ID_NK47MAUWJ8Z5,155.7131
ID_8ZCGIWU6GZLO,259.14905
ID_SNIWSZ237UOD,339.0326
ID_7LDSCZ2OPT0K,508.7345
ID_TK2TH4JSJ1KB,172.99693
ID_UUXFZKSR58SC,311.34543
ID_EVACECC6XIW9,1630.7611
ID_U2LSES0Y4I3C,1539.8772
ID_NEGU2TDNC4Y0,152.35173
ID_WCBHSOBP51H1,254.54782
ID_SVRQ4NGZFMMP,890.1881
ID_5TBBUKHYJ1KI,690.1457
ID_4AOR8R30LNOD,406.6393
ID_5XOUKBLNO7AC,516.16565
ID_IQZTM1J018FS,767.6832
ID_Q9VXX3O6IZOD,250.38947
ID_HTEQD0S6QIB8,309.5493
ID_0GFT8KE7O9RP,789.16614
ID_SHFI8L6O4DQ3,744.6156
ID_64MUBP88ECF6,436.13623
ID_EHYBYH7QLOSL,130.40381
ID_GTGEI6PS93QJ,1136.36
ID_TL9C9OJ8G68U,239.0761
ID_SM1GWL52K1F8,321.16107
ID_DZW8R8ONEU66,448.54794
ID_HBDA4P8811S8,1636.4153
ID_CJQOTSL074N8,625.519
ID_KZ0X60V9XQIG,1805.2932
ID_0TWFZTV06NYT,636.4139
ID_PVJN35A46C0K,549.68964
ID_D732BOTXBLSI,385.4053
ID_342GB00NU2X8,157.81808
ID_AQUL5HCLWJPM,1060.2483
ID_VU3938I1G9Z0,761.8842
ID_Y2ZY2HDPU6PE,397.14645
ID_SJD77GLF5ZFJ,570.16266
ID_3T35R9QJBF2M,405.06802
ID_NQUTMXXK59YN,580.96277
