ID,Yield
ID_F9XXEXN2ADR2,565.36
ID_SO3VW2X4QO93,420.08
ID_UKUQ7JM8E894,483.12
ID_QUISMWEZR2H4,308.3
ID_25JGI455VKCZ,563.1
ID_KQEAOXF3RPV6,379.15
ID_FSNZCPW9HTD2,942.4
ID_U2TOPOA0T40S,376.68
ID_XVQLSUKOT04J,1071.15
ID_EAZAU6IW58PK,157.89
ID_WI17R25TC2VU,352.47
ID_OPR9MJWG40U7,1642.8
ID_P9K9GAHC6FX6,667.27
ID_SCAOUCCTJ75Z,14.22
ID_MUP1OS8GZR5E,1433.48
ID_WVBSZ9VBC9HE,674.45
ID_9MGH1WIKFBNB,402.44
ID_3M2O3EPOM18C,2027.75
ID_K9MOR4N1FWIB,580.32
ID_VJPUPMSQARO5,1198.5
ID_7WIMK3DXIU3Q,1169.86
ID_6QXVH0EUS60J,1175.55
ID_CA9GH6Q53A1Q,227.08
ID_94KO4EQ6TA3S,252.41
ID_2WH3AXUWRS2A,236.35
ID_LBS8TBC6QEF1,307.3
ID_Y3YARETW8RAP,1247.58
ID_BY9JJAIKBRGP,404.15
ID_0U5AM482W1DE,422.98
ID_G0I28ORJC3OP,424.45
ID_Q34ED4EMSA3R,563.67
ID_LN3LXEG984XM,665.43
ID_0JTIPPYRJND0,753.8
ID_2MRD9I2X8UXB,198.55
ID_KH1FHLUW2T4X,261.2
ID_RFM5MWSIU1JX,322.17
ID_IAH2UTMDVU8F,241.29
ID_9SNP46T1GSJI,741.69
ID_DSQ9ISYFW4DB,433.96
ID_B8XYLC3NM6XD,200.56
ID_HOG9LK4CTN8K,433.57
ID_L3RTRS1QIY6D,440.59
ID_03QW4RBYQEBK,405.0
ID_ZJSYN3ZHXK5K,833.0
ID_UPRM76SZ7IJJ,620.59
ID_YB866N9RY5TU,526.7
ID_4H0KNHPKF9BK,193.3
ID_TOIT03A3WTTD,363.25
ID_4P7NKCB6LMJ5,61.6
ID_1TIMGZJLRLWF,655.77
ID_25E6065LQDON,680.5
ID_SOB9B3H12POE,886.6
ID_A8RF0GQGJF5H,890.88
ID_GT36LGF8SM8K,567.01
ID_E9OHGDA3U6DG,425.46
ID_HXWHLMRE99CE,1233.8
ID_3VL9DLFRG5A3,315.22
ID_OKPI3DR2ZQPJ,291.09
ID_XZO6ECCAOC94,915.6
ID_4X2UWYR6RIE2,823.99
ID_1LVAHN6PZYBS,1138.05
ID_HRAJFKTPCNWQ,1961.0
ID_TK4H5NRKHOE8,352.95
ID_9U0UBT1J8152,332.67
ID_3EUKVYT37JOP,237.58
ID_1499QWPPW755,560.82
ID_ULWP3J0G860C,380.89
ID_51FSB3P7RO7F,570.68
ID_FHMVP6OM4GDX,1781.1
ID_2OICAUFVUF5S,232.26
ID_ZGCFHIHAIC5U,412.86
ID_SR592R346POT,1302.2
ID_IW7UUDAW8LI0,450.61
ID_UNWZCF6L3JHJ,434.66
ID_Z4FXX0BNPHCO,1912.45
ID_T18YB26T1R72,376.91
ID_LXZWOINVI194,571.78
ID_QNQJS14C9JJR,1768.9
ID_NTPIQUV3J2G6,837.84
ID_PVQOEEDTISZ0,4.0
ID_PNB65ASGG3U5,322.8
ID_KWPXATBZDX9T,501.04
ID_0G0F9TOR4IMI,1510.0
ID_FVLMABW5Y6X2,954.25
ID_O2PL38IY50T5,424.25
ID_CNG8Z00FPPMP,768.65
ID_641DSHBH8JAF,1335.94
ID_Y14QXUKOFJ4H,328.38
ID_DRP3WZV4BNIE,424.0
ID_TMXV7UW39T80,228.35
ID_0L8O49SS6MQM,498.89
ID_UGTG0XQELY2U,436.6
ID_0YZYA9AXL9Z2,291.08
ID_KNOK4V0IWVUO,165.76
ID_YX4DF17Z25RV,382.18
ID_2YAZXP3AEDVO,320.48
ID_YNACZPCVVI09,1812.45
ID_75GYXJW1DYGX,319.35
ID_YRCMJRFRTU2K,1844.5
ID_1L4WBTHTDQMP,534.36
ID_RO0XF0TFLRG6,582.89
ID_NJ7G0SAVDN1Q,354.98
ID_UFPM6MLG1BJK,4.04
ID_ULY51B6WQ9FV,1614.7
ID_CR6L4TL2VEEM,234.06
ID_4YRSPS7X1V7Q,378.52
ID_ILQ5YE78E0SD,280.14
ID_WDNXY8YRA10N,371.51
ID_WYK6LRWQ21ML,302.85
ID_EBA4QUGDXB5I,1179.4
ID_2WCWAKQKRA74,661.92
ID_FTSIEXKUER9Y,326.95
ID_64BCOW7PEP3E,80.0
ID_0N5TFB55JBOB,714.35
ID_9AE1OJ45UFJ3,546.94
ID_NJWAR6L7X4Q6,773.0
ID_W8U6J9PKGGGI,397.5
ID_WJUUIJMPNLHW,413.72
ID_S7F4L5OW7OKD,1114.8
ID_Y0OX05BLLQPI,192.8
ID_XJ7ULGKCALNF,608.03
ID_8NU1PZBDI5C7,1295.45
ID_CPPN31R20CBA,679.32
ID_D20Z6VEJBE6K,4.0
ID_N6RSTF2IR5GL,567.99
ID_DJBLGDPMS85M,12.26
ID_34J19EEKSSHY,854.34
ID_P8MQS1ERUQ9F,238.3
ID_U07HHH2EG6K1,831.9
ID_IKAOSO0CFKYZ,200.11
ID_NHQ2WMFGNBS1,323.59
ID_FRJ3P7XDG7OV,557.83
ID_5N0W8ZFFAIQX,444.19
ID_OFSHZ2KZ1LQ4,4.0
ID_A6C1G6XUATUE,64.2
ID_N99MP1180BJ5,236.55
ID_D5F8SLVPMZKE,147.2
ID_49QTISSSNQ0M,617.18
ID_S1WHDBHNKLYO,319.3
ID_9YE4VBW3W1WJ,403.33
ID_7SWZRG2B52YI,337.52
ID_41XNQZ8M4QXH,368.0
ID_SIB0PJZQMRBO,306.76
ID_M47IW492SXOP,162.06
ID_MTUJW5V02DWQ,830.1
ID_Y108HSDX00WC,974.38
ID_QRD8JCO8QWCF,99.65
ID_RIP1ZN0ST7I3,8.34
ID_BPS356NV28J7,1148.96
ID_0KANA1KYEQKW,100.25
ID_80MMCWDS27VC,881.05
ID_CH1WWOXBV7L8,371.64
ID_PM7YZSDTN1OI,655.52
ID_FR4XH94DJW50,532.76
ID_D1IDORABBOBP,462.04
ID_0BE8BMWG3A68,496.51
ID_RY2QD5TLB4US,427.64
ID_S8D99RRNCOMC,1264.7
ID_YZLW773BTIA3,322.76
ID_FL8VHWG97QTI,802.56
ID_JVLT86OR9T15,653.79
ID_NBSTAXAZ24X0,1161.78
ID_43VRMQQ5E60F,312.78
ID_HI4ACMU7M13J,416.75
ID_UI96L3AE8YXY,586.4
ID_UXRI6OXKF50S,920.65
ID_FW06NS2YA7QW,424.4
ID_RA5OO0JVNOUF,403.0
ID_EVGU94YQTZWM,152.4
ID_GHANLFEJN9UW,163.03
ID_HXBFX8X2DD7B,880.6
ID_KUNLQSF5FM19,595.7
ID_7XXH76413XNT,551.54
ID_D58TIQKQLU7Q,420.77
ID_W5CLRPVGFRKH,503.65
ID_A3Y0OIB0BE59,400.35
ID_C74NLELOCNTS,1924.75
ID_2FIGN89QV44C,287.82
ID_QN4PJSV2CGSJ,319.51
ID_V5W6AZBTURWA,411.98
ID_L6E0GOTVHSCD,623.81
ID_Q95BUWXK8RM3,147.0
ID_5TLXCFLTYF1F,414.6
ID_GLBHSYJG9S5B,1255.88
ID_3X3YHRC7IIN9,558.29
ID_5H724YS64665,910.2
ID_U4Z5RN88FCZM,653.7
ID_05TGZGOMI6MF,416.86
ID_0GCZV8RUSZK6,430.92
ID_UV06K1FM1SB5,477.3
ID_RCJZ3PORBWFV,172.24
ID_W1NL5CU9VHQS,417.86
ID_2WIYFQHMJPYD,1972.26
ID_BFFULEU6PVQ9,99.8
ID_JN31K11BXQ0E,332.44
ID_DS40FHVR9R7F,329.1
ID_DNOT9DTVZ6MQ,774.35
ID_Z58PO8MMX8YV,823.6
ID_NEYMBJKFHN1X,510.06
ID_RND7MNSA6LWV,287.2
ID_U407VXC7F9NZ,325.4
