ID,Yield
ID_F9XXEXN2ADR2,1241.04
ID_SO3VW2X4QO93,1097.94
ID_UKUQ7JM8E894,1224.24
ID_QUISMWEZR2H4,1199.85
ID_25JGI455VKCZ,1917.24
ID_KQEAOXF3RPV6,1190.63
ID_FSNZCPW9HTD2,2170.64
ID_U2TOPOA0T40S,1201.05
ID_XVQLSUKOT04J,2667.11
ID_EAZAU6IW58PK,908.26
ID_WI17R25TC2VU,1112.14
ID_OPR9MJWG40U7,2624.45
ID_P9K9GAHC6FX6,1920.54
ID_SCAOUCCTJ75Z,1109.0
ID_MUP1OS8GZR5E,2255.95
ID_WVBSZ9VBC9HE,1919.14
ID_9MGH1WIKFBNB,1102.6
ID_3M2O3EPOM18C,2448.11
ID_K9MOR4N1FWIB,1227.19
ID_VJPUPMSQARO5,2667.81
ID_7WIMK3DXIU3Q,2764.71
ID_6QXVH0EUS60J,2642.2
ID_CA9GH6Q53A1Q,1202.04
ID_94KO4EQ6TA3S,1104.24
ID_2WH3AXUWRS2A,1099.54
ID_LBS8TBC6QEF1,1199.85
ID_Y3YARETW8RAP,2223.53
ID_BY9JJAIKBRGP,1153.42
ID_0U5AM482W1DE,1109.83
ID_G0I28ORJC3OP,1102.59
ID_Q34ED4EMSA3R,1900.56
ID_LN3LXEG984XM,1921.24
ID_0JTIPPYRJND0,2160.27
ID_2MRD9I2X8UXB,1201.05
ID_KH1FHLUW2T4X,1100.69
ID_RFM5MWSIU1JX,1102.09
ID_IAH2UTMDVU8F,1106.39
ID_9SNP46T1GSJI,1906.34
ID_DSQ9ISYFW4DB,1193.14
ID_B8XYLC3NM6XD,1106.39
ID_HOG9LK4CTN8K,1102.59
ID_L3RTRS1QIY6D,1106.14
ID_03QW4RBYQEBK,1102.59
ID_ZJSYN3ZHXK5K,2255.95
ID_UPRM76SZ7IJJ,1950.17
ID_YB866N9RY5TU,1226.09
ID_4H0KNHPKF9BK,1201.05
ID_TOIT03A3WTTD,1099.54
ID_4P7NKCB6LMJ5,1100.09
ID_1TIMGZJLRLWF,1906.34
ID_25E6065LQDON,1911.84
ID_SOB9B3H12POE,2155.74
ID_A8RF0GQGJF5H,2177.54
ID_GT36LGF8SM8K,1226.84
ID_E9OHGDA3U6DG,1100.45
ID_HXWHLMRE99CE,2223.53
ID_3VL9DLFRG5A3,1106.14
ID_OKPI3DR2ZQPJ,1104.53
ID_XZO6ECCAOC94,2762.71
ID_4X2UWYR6RIE2,1301.35
ID_1LVAHN6PZYBS,2155.74
